Ticker,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Last,1-Year Beta,Basic EPS (FY),EBITDA (TTM),Goodwill,Industry,Last Year Revenue (FY),Net Debt (MRQ),Net Income (FY),Net Margin (TTM),Quick Ratio (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Total Debt (MRQ),Total Revenue (FY),YTD Performance,Yearly Performance,Number of Employees,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Monthly Performance,Total Assets (MRQ),Total Current Assets (MRQ),Total Shares Outstanding (MRQ)
CESCVENT,104165,4856890000,,-1.2787,Finance,182.25,1.4085296,-1.2787,4753000000,23938900000,Financial Conglomerates,45784200000,15440700000,-33900000,-0.07404301,0.88949028,-0.05978767,-0.14732213,-0.11774165,532374418.6046511,19058400000,45784200000,-42.5984252,-58.7529714,86,27.36926713,10332500000,3259200000,9.92159228,62310000000,14171100000,26511400
SHRENIK,14178,4855200000,41.59021232,1.1445,Distribution Services,47.950001,1.5627668,1.14,320693000,,Wholesale Distributors,7955574000,1688193653,116039000,1.4585874,0.63801516,3.68730661,16.79572562,10.4469867,,1726657604,7955574000,11.38211873,,,5.09959432,405701999.999999,75953000.0000001,66.78261217,3320080735,3151527543,102000000
MPSLTD,4017,4852510000,8.98990338,32.1583,Consumer Services,290.79999,1.2794074,32.15,789600000,617700000,Publishing: Books/Magazines,3316500000,-1613400000,598600000,18.0491482,,12.20381637,14.28528132,14.07054595,,188400000,3316500000,-38.20654827,-48.81633728,,19.17382783,635900000,97100000,16.13418595,4435900000,3132400000,16822700
SHARDAMOTR,1169,4823960000,8.57378071,95.4713,Producer Manufacturing,808.65002,0.76491547,88.1,966657000,,Auto Parts: OEM,8629881000,-1523484000,523878000.00000006,6.19848624,1.19643301,7.78266049,12.48519719,12.33603412,,107190000,8629881000,-26.08317916,-34.74418819,,17.30614363,1519262000,364317000,12.68027555,6221943000,3971112000,5946330
MAXVIL,72524,4816600000,12.84209663,2.5541,Process Industries,32.849998,0.85902476,2.55,1687878000,16708000,Containers/Packaging,13822154000,4021378000,374305000,2.70392861,0.62120782,1.98157861,4.37225052,3.25915921,,5325511000,13822154000,-44.13265551,-20.93863107,,20.07969223,2758781000,681519000,-5.05780376,18796230000,4787094000,146624000
MAHEPC,353355,4781230000,20.80234147,8.2957,Producer Manufacturing,179.85001,0.8347179,8.2932,368531000,0,Trucks/Construction/Farm Machinery,2838874000,2726000.00000003,230398000,8.11378842,1.63708063,9.45352683,14.38215349,14.3769976,8181193.08357349,131092999.99999999,2838874000,,,347,42.02274557,1044874000,364186000,27.55319858,2660608000,1904683000,27781700
IFGLEXPOR,13824,4775210000,10.32024523,12.8776,Producer Manufacturing,125.15,1.0453342,14.0015,972400000,1166800000,Industrial Machinery,9402627000,-808500000,504603000,4.94628469,,4.57774041,5.94510473,5.78360031,10209149.83713355,911200000,9402627000,-7.77450258,-31.36825164,921,27.63460801,1911977000,601800000,-5.97295973,10294100000,5551900000,36039300
ARMANFIN,11487,4768300000,,,Finance,510.04999,1.2495439,,737632000,,Finance/Rental/Leasing,2151470000,6009292000,415200000,19.29840462,,5.20648996,33.02491522,6.9048239,,6977661000,2151470000,-19.63287262,24.02431368,,58.9154475,1267549000,304506000,26.04720193,8961646000,,9655364
NELCO,55966,4763340000,33.05562168,6.3015,Electronic Technology,206.60001,1.273365,6.3,497700000,,Electronic Production Equipment,2199300000,929600000,143800000,6.53844405,0.65308134,5.53641211,23.62605767,15.03240644,,1063900000.0000002,2199300000,-14.36269016,-27.88830366,,42.18615014,927800000,267800000,4.68710389,2800700000,1231700000,22818400
GREENPANEL,146670,4727270000,32.61787899,1.1834,Non-Energy Minerals,37.5,0.6269491,1.18,1377686000,,Forest Products,8765662000,4962782000,144606000,1.64968715,0.5478899,0.98917416,2.21255346,1.31345037,,5078254000,8765662000,-17.49175099,,,35.91776639,3166157000,985530000,17.37088835,14658190000,3169149000,122627000
CANTABIL,89653,4726840000,28.85198227,10.0617,Retail Trade,295.20001,0.47460148,10.06,848516000,,Apparel/Footwear Retail,3380365000,2568884000,164294000,4.86024438,0.21303842,4.87089435,14.14065691,7.3699094,,2609804000,3380365000,4.81094283,27.68166522,,25.41012583,859004000,209254000,5.4850811,4494130000,1503261000,16327608
KINGFA,2507,4721880000,19.4373233,20.3243,Producer Manufacturing,390.39999,0.87230414,20.33,553760000,,Miscellaneous Manufacturing,7415003000,232442000,246165000,3.31983682,1.10318411,4.28389473,7.31459168,6.95470918,,460806000,7415003000,-37.59092059,-36.44799017,,14.77490973,1095561000,275769000,-2.14313066,5962999000,3616207000,12110500
NECLIFE,696341,4698270000,,,Health Technology,20.549999,1.5273751,2.1225,,0,Pharmaceuticals: Other,27829250000,7586920000,476000000,,,,,,14119355.65702689,7799585000,27829250000,69.13579424,48.91303623,1971,,2723090000,892636000,-20.348838,27050036000,16999731000,224261000
ZEELEARN,536791,4679430000,5.17471422,2.7731,Consumer Services,14.05,0.25699738,2.3345,2027321000,3132364000,Other Consumer Services,5172464000,2607174000,761122000,15.73886341,,5.71773286,20.42925198,12.9398112,,2810426000,5172464000,-24.66487936,-38.37719028,,38.92598199,2082753000.0000005,430805000,-11.63522013,16124222000,2503482000,326093000
REPRO,2721,4654230000,,,Commercial Services,377.45001,0.92019415,20.5103,,0,Commercial Printing/Forms,3970110000,834513000,235794000,,,5.83536423,9.91219378,8.93673964,,858232000,3970110000,-39.06199583,-31.34151705,,,629612000,,-1.126389,4583183000,1367970000,12088900
MMFL,57638,4647100000,8.4459612,22.8038,Producer Manufacturing,193.10001,1.296567,32.6586,1528732000,0,Metal Fabrication,9341151000,4435272000,788404000,6.52402071,,5.61087451,15.530649,7.82724792,,6103902000,9341151000,-49.5888226,-57.85682982,,27.69374221,2005756000,420695000,7.01025769,12263788000,4804935000,24140800
ANUP,6672,4636180000,10.84910204,42.1372,Producer Manufacturing,460,1.5990151,42.13,688624000,,Industrial Machinery,2454614000,,429683000,17.4873398,1.30869914,10.484547,14.21456069,,,,2454614000,-4.7323205,-3.55383366,,44.8586123,1099730000,220928000,33.00563444,4220688000,2162060000,10199500
DWARKESH,1003323,4622790000,6.28189021,3.9001,Process Industries,23.950001,0.97437155,3.9,1360673000,,Agricultural Commodities/Milling,13361298000,6545973000,734541000,5.49752726,0.20571066,4.8372243,15.50797228,11.46293446,,6576784000,13361298000,-28.29341447,-2.83975254,,14.3110572,1912143000,798407000,-5.5226785,16093580000,10991097000,188301000
INDRAMEDCO,150180,4606570000,10.5667827,4.7602,Health Services,50,0.4075354,4.76,863910000,,Hospital/Nursing Management,8307680000,-200360000,436240000,5.25104482,0.92694388,10.01285347,17.04608507,,,39750000,8307680000,26.42225351,35.50134767,,27.86205054,2314690000,522640000,14.28571429,4489920000,1414720000,91673000
IMFA,29790,4552390000,,,Non-Energy Minerals,172.95,1.1337723,-0.3781,,205000000,Other Metals/Minerals,15921000000,6412500000,-10200000,,,,,,,7227200000,15921000000,-8.82973115,-8.27366746,,,3306000000,1011000000,11.65268636,25283300000,7876500000,26977100
DHFL,982124,4487670000,,-428.7688,Finance,15,1.0218625,-428.77,-117409600000,,Finance/Rental/Leasing,-54558600000,774134400000,-134558100000,,,-13.9195409,-1125.43000882,-17.40316105,,851333600000,-54558600000,-10.7142804,-78.60199654,,,-112714800000,-100577700000,-4.15335463,858296700000,,313823000
EMAMIPAP,7153,4476930000,,-1.725,Process Industries,73.449997,1.0832422,-1.73,2307500000,,Pulp & Paper,15153200000,13803800000,-104500000,-0.69575291,0.35940758,-0.51881254,-4.38219445,-0.97132048,,14008700000,15153200000,-0.60893774,-10.42683293,,17.55627609,2770400000,820300000,-5.59126714,19178200000,5817400000,60499000
TEXINFRA,214161,4466300000,,-0.8642,Utilities,35.75,0.8695091,-0.86,19554000,,Electric Utilities,187828000,214324000,-109732000,-58.4215346,6.06969873,-1.68826643,-1.82432819,-1.75739333,,250518000,187828000,-18.75,-18.37899357,,,,,0,6106141000,944199000,127426590
SUBEX,312633,4445440000,,-4.7683,Technology Services,8.3,1.1230276,-4.94,861800000,3440900000,Packaged Software,3649800000,-424300000,-2691500000,-73.74376678,,-34.12426227,-41.10760678,-40.0499974,,486700000,3649800000,39.49579832,44.34782609,,17.04750945,711000000,260600000.00000003,-2.35294118,6809800000,2427200000,562003000
MANINFRA,117523,4430250000,,-0.2874,Industrial Services,18.4,1.111305,-0.29,-38601000,6620000,Engineering & Construction,2669783000,2542446000,-71247000,-2.68012718,2.00432514,-0.53882809,-1.04486923,-0.66905232,,3964336000,2669783000,-27.41617357,-34.63587922,,19.08466323,518775000,183139000,-8.9108956,12979983000,8637201000,247500000
APTECHT,126079,4403480000,33.58060264,3.4011,Commercial Services,108.6,0.8172023,3.3804,261017000,0,Miscellaneous Commercial Services,2160710000,-151480000,135061000,6.2277036,1.81888756,4.01945386,5.01839843,5.00405977,4473519.66873706,277946000,2160710000,-32.75541796,-21.07558713,483,63.19691029,825961000,201655000,6.94239291,3414533000,1453642000,40269600
UVSL,56558784,4361330000,,,Non-Energy Minerals,0.6,0.25725323,-0.954,,0,Steel,24671400000,14150500000,-6303800000,,,,,,26614239.48220065,14362700000,24671400000,500,1100,927,,-642499999.999998,455400000,71.42857143,29120600000,4435200000,6608080000
ASALCBR,21387,4351660000,8.8211473,27.2867,Consumer Non-Durables,240.05,1.0046387,27.29,766169000,,Beverages: Alcoholic,5225825000,-137025000,493362000,9.44084427,1.34307272,18.94515294,28.64814362,27.54152062,,82211000,5225825000,,,,30.83019428,1611222000,402821000,-2.55734108,2735265000,1435614000,18079200
BBL,4531,4343510000,9.52471258,80.7006,Producer Manufacturing,765.59998,0.93366534,80.69,680500000,,Electrical Products,9287300000,2166900000,456200000,4.9110075,1.18090504,3.80495807,6.05123851,6.05079698,,2479600000,9287300000,-6.25115273,-23.17110085,,16.30398501,1514200000,433100000,6.06081613,12401300000,7665500000,5651560
PLASTIBLEN,11966,4341500000,11.58067603,14.304,Process Industries,160.05,1.0527627,14.3,674466000,,Industrial Specialties,6058724000,391345300,371754000,6.13584541,1.38346013,9.00245952,13.52822009,12.90593368,,403616000,6058724000,-10.5116069,-6.92061646,,21.64726077,1311548000,435264000,-8.1492109,4088898000,2185723000,25989200
NELCAST,563915,4332660000,12.02300684,4.1379,Non-Energy Minerals,52.099998,1.7192897,4.14,482598000,,Steel,5667566000,1637487000,360051000,6.35283294,0.97411552,4.60283305,8.8319987,6.87634577,,2118696000,5667566000,0.38534873,12.64864432,,33.31445986,1888119000,476031000,16.42457654,7822567000,3082221000,87001200
RBL,15160,4304960000,12.53442461,43.3925,Producer Manufacturing,551.29999,1.1158311,43.4684,605386000,0,Auto Parts: OEM,4709800000,-369600000,343400000,7.29227068,1.1399164,9.42575643,15.66159739,15.65267523,6671104.81586402,5800000,4709800000,-23.74299988,-9.23609288,706,30.45465885,964700000,405332000,12.48724316,3593500000,2091000000,7914980
SPIC,143472,4296800000,6.70051082,3.1714,Process Industries,20.85,1.237699,3.14,1128032000,,Chemicals: Agricultural,20791800000,2068885000.0000005,674835000,3.24379323,0.79381476,3.26942254,16.7550432,14.44755732,,2790972000,20791800000,10.31746032,-2.57009346,,14.37975067,2989809000,856683000,0.968523,20932411000,14276945000,203640000
SATIN,72795,4271330000,2.76416022,30.5187,Finance,84.400002,1.333611,30.43,4209702000,337066000,Finance/Rental/Leasing,15034319000,36603518000,1549726000,10.39259573,,2.20328974,11.92952408,2.94041827,,55415129000,15034319000,-60.73505373,-69.00477227,,,8998047000,2653756000,-12.89989653,72996177000,,51648550
NAVKARCORP,347772,4267210000,9.4311427,3.0113,Transportation,28.549999,1.5982122,3.01,1662923000,,Other Transportation,5670982000,4750384000,453127000,7.99027399,0.72362482,1.91985313,2.55038368,2.08940377,,4774284000,5670982000,4.77063853,18.21945756,,33.96660402,1926240000,440741000,-1.55172759,24271241000,1628816000,150519000
3IINFOTECH,5346755,4203290000,6.26959248,0.4147,Technology Services,2.55,0.90952754,0.42,1784300000,4350600000,Information Technology Services,11413200000,7244200000,676100000,5.92296639,,4.47634688,18.91755751,5.78445215,,8154200000,11413200000,30.76923077,-21.53846154,,25.58879193,2920800000,847800000,-1.92307692,15286600000,5188400000,1616650000
UNIENTER,13814,4176229999.999999,20.23933333,2.883,Producer Manufacturing,60.5,1.0044987,2.89,-28580000,,Industrial Conglomerates,2268000,,200744000,8851.14638448,,0.95222028,0.95241995,,,,2268000,-15.79679654,-27.54491018,,-138.75661376,-12159000,-2874000,0.83333333,15185193000,590906000,69545800
