Ticker,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Last,1-Year Beta,Basic EPS (FY),EBITDA (TTM),Goodwill,Industry,Last Year Revenue (FY),Net Debt (MRQ),Net Income (FY),Net Margin (TTM),Quick Ratio (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Total Debt (MRQ),Total Revenue (FY),YTD Performance,Yearly Performance,Number of Employees,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Monthly Performance,Total Assets (MRQ),Total Current Assets (MRQ),Total Shares Outstanding (MRQ)
RELIANCE,16887752,12116800000000,30.14657762,63.4135,Energy Minerals,1919.9,0.7997786,62.8948,876350000000,102590000000,Oil Refining/Marketing,5958870000000,2411560000000,393540000000,6.61766561,0.4464758,3.62990535,9.36506105,6.28108301,30461767.32202558,3449910000000,5958870000000,28.01236015,51.55578367,195618,25.75548908,1277320000000,366160000000,9.1224281,11659150000000,2582600000000,6339400000
TCS,2952719,8260300000000,26.45373856,83.1924,Technology Services,2207.8999,0.6308745,86.1852,420960000000,17520000000,Information Technology Services,1569490000000,-313200000000,323400000000,19.87090943,3.49267098,25.09627057,34.88303228,32.57335448,3369906.19169188,81720000000,1569490000000,2.1372022,4.72914809,465737,32.86399022,526260000000,118440000000,7.98688741,1266610000000,956930000000,3752380000
HDFCBANK,32562064,6034640000000,21.24661509,52.0279,Finance,1133.05,1.1748751,49.8353,,0,Regional Banks,1477444608000,492272100000,272539506000,19.07432977,,1.95824006,16.58425246,8.80981145,12630862.41889015,1596812300000,1477444608000,-10.93074444,-5.13448456,116971,,,,9.64823148,15962523500000,1104540200000,5490280000
HINDUNILVR,2816285,5482320000000,74.95529107,31.1724,Consumer Non-Durables,2330.95,0.42167532,31.1715,98610000000,1170000000,Household/Personal Care,396120000000,-61230000000,67480000000,16.98212804,1.02543737,34.84090557,83.94632207,80.90049096,,8420000000,396120000000,21.21424857,35.63074596,,47.01002941,179960000000,42990000000,11.38215267,201530000000,123210000000,2349550000
INFY,18421083,3850280000000,22.52997311,40.1422,Technology Services,934.29999,0.8101711,38.9736,236740000000,53690000000,Information Technology Services,907910000000,-215720000000,165940000000,18.38040862,2.25022207,18.49669547,27.79205731,26.24926786,3745951.45458821,45220000000,907910000000,27.78499138,30.26141373,242371,33.454934,257850000000,79620000000,32.42151559,984390000000,582650000000,4259160000
HDFC,3915997,3132710000000,14.85807142,124.0756,Finance,1806.05,1.2828175,124.1576,266727599999.99997,16067700000,Finance/Rental/Leasing,1019475500000,2881868300000,214345700000,21.06100257,,3.08258048,17.99619079,8.03572018,192753923.2369068,2936883600000,1019475500000,-25.13937535,-18.92941308,5289,31.38960011,914136500000,53094500000,-1.58302,7298149300000,,1734610000
BHARTIARTL,9610173,3094370000000,,-62.8074,Communications,575.75,0.6158871,-63.41,366181000000,0,Wireless Telecommunications,875390000000,1185675000000,-321832000000,-36.76441358,,-9.97914912,-43.32482987,-18.32446335,,1482281000000,875390000000,26.3163696,60.57732982,,20.95751608,182781000000,55875000000,0.56768559,3607790000000,766432000000,5454068000
KOTAKBANK,3481861,2628640000000,29.71016115,44.9734,Finance,1319.05,1.1114632,44.7311,,8137530000,Financial Conglomerates,525413400999.9999,564650833000,85933610000,16.30482464,,2.05007978,13.70347052,6.62824058,,672056039000,525413400999.9999,-21.68789147,-10.62438595,,,,,1.2706334,4431727117000,679679689000,1978800000
ITC,18918931,2384690000000,15.62399356,12.4639,Consumer Non-Durables,192.7,0.22590302,12.47,192601600000,2025300000,Tobacco,494040500000,-249519000000,153062300000,30.2405078,3.1946187,20.52248694,46.89892921,46.74859918,,2737700000,494040500000,-18.93142617,-29.45267909,,53.99353038,261178800000,62374000000,4.69980983,773670400000,395053500000,12292200000
ICICIBANK,36313319,2291560000000,24.33287414,14.7959,Finance,363,1.6195992,14.81,,0,Regional Banks,1497861000000,859988600000,95663100000,6.38664736,,0.73022836,8.06557075,2.7918459,,2138517799999.9995,1497861000000,-32.64056661,-15.75771445,,,,,-0.2198983,13772922300000,1278529200000,6476080000
BAJFINANCE,10556334,1986820000000,36.98935574,89.91,Finance,3441.5,1.6645956,89.77,114403900000,32700000.00000001,Finance/Rental/Leasing,263738000000,1069965500000,52637500000,20.0281488,,3.64725844,20.23559986,4.73370498,,1083792700000,263738000000,-18.73192042,0.36307432,,58.85150005,155495900000,42982500000,27.52908443,1643913700000,,601739000
MARUTI,912611,1787720000000,31.50389521,187.8974,Consumer Durables,5867.5,1.4517275,187.95,73126000000,,Motor Vehicles,756600000000,-10660000000,56760000000,7.50198255,0.46231889,8.87921082,11.76310889,11.75419323,,1818000000,756600000000,-20.37157777,-1.01890891,,19.60785091,156738000000,37869000000,-0.50616123,636277000000,84406000000,302080000
HCLTECH,10543170,1691840000000,15.29915838,40.7353,Technology Services,648.59998,1.0147188,40.75,173160000000,161540000000,Information Technology Services,706760000000,-43780000000,110570000000,15.64463184,1.61521281,15.63036733,23.87270195,21.97402546,,75870000000,706760000000,14.17004098,27.31376583,,28.42832079,200920000000,55060000000,13.86938251,829060000000,384200000000,2713670000
SBIN,45680606,1680500000000,8.49669072,22.1498,Finance,190.75,1.2213333,22.1498,,15499882000,Regional Banks,3622574267000,1460111813000,197678022000,5.4541338,,0.48894136,8.14233941,3.14277465,14522362.44427697,3437230702000,3622574267000,-42.84644195,-46.14624658,249448,,,,3.38753388,41974923443000,4819032138000,8924610000
NESTLEIND,196577,1661570000000,81.76590679,210.7229,Consumer Non-Durables,17247,0.6290597,204.2769,29772700000,0,Food: Major Diversified,123172600000,-22623600000,19695500000,16.00870523,,25.76890997,70.26578666,69.1764367,16103098.44424108,531400000,123172600000,16.64925078,49.31885771,7649,44.21970465,49720700000,14222500000,7.15850101,71981700000,38171700000,96415716
ASIANPAINT,1848600,1647850000000,60.91325561,28.2024,Process Industries,1751.6,0.44531748,28.2258,41600800000,3199900000,Industrial Specialties,200946000000,-6448100000,27074100000,13.38157133,0.9566065,17.02314237,27.56304625,26.70937326,8746670.14886393,11185000000,200946000000,-1.86839968,32.40107336,22974,33.01387151,61562200000,15949000000,7.9568567,161547700000,75801100000,959198000
WIPRO,21395182,1487670000000,15.49502926,16.8984,Technology Services,270.79999,0.84642404,16.6658,126289000000,131596000000,Information Technology Services,610232000000,-279247000000,97218000000,15.88462632,2.55870999,11.32568357,17.20521043,16.46647854,3487040,94061000000,610232000000,10.17086656,1.4422101,175000,28.86138889,174147000000,45431000000,21.95451025,841108000000,546126000000,5689005207
LT,3036076,1299390000000,13.61904046,68.0452,Industrial Services,919.59998,0.9704501,68.04,165795600000,80114000000,Engineering & Construction,1454523600000,1153561400000,95490300000,6.11503313,1.20898092,3.02299743,13.77939026,6.19193577,,1431736700000,1454523600000,-29.16345864,-38.67493715,,15.47822256,225134200000,66428700000,2.3825395,3081401300000,1783226800000,1403990000
DMART,1556417,1288360000000,124.20411985,16.179,Retail Trade,2019,0.66440415,20.71,16433200000,782700000,Specialty Stores,248702000000,1766300000,13010800000,4.4382405,,13.63353203,15.61246977,15.29425525,,2991900000,248702000000,9.82674681,49.46698253,,10.88081253,29367600000,3285300000.00001,-14.56318535,120764500000,23476700000,647775000
HDFCLIFE,3020897,1241280000000,95.58103,6.4291,Finance,616.45001,0.9191499,6.4296,,0,Multi-Line Insurance,419392050000,-6901837000,12974447000,4.42773059,,0.98951054,20.8437803,20.8437803,,0,419392050000,-1.53342068,35.26056171,,,,,18.29783797,1322238494000,102480044000,2019170000
AXISBANK,30400830,1222920000000,62.64645616,6.9655,Finance,434,1.7721034,6.83,,0,Regional Banks,800576700000,573804000000,18784936000,2.32997863,,0.21415825,2.42025393,0.7483306,,1551801700000,800576700000,-42.44794967,-43.58141046,,,,,4.06426338,9278718100000,977997700000,2822020000
SUNPHARMA,16111403,1207560000000,32.086448,15.6951,Health Technology,483.79999,0.49679098,15.69,69981500000,64814600000,Pharmaceuticals: Major,328375000000,-38066100000,37649300000,11.46533689,1.51397676,5.62633521,8.68761401,8.34564329,,75783000000,328375000000,11.84834151,23.35542521,,46.26393605,151919200000,36528600000,-0.88097109,682524600000,316541600000,2399280000
ULTRACEMCO,277775,1115350000000,19.20608185,202.1713,Non-Energy Minerals,3865.1001,0.7867507,201.61,90420700000,62524900000,Construction Materials,421248300000,181150300000,58148400000,14.03899307,0.60608484,7.89049072,17.01119552,10.99686792,,228979300000,421248300000,-4.4722606,-13.73892634,,52.2755903,221322400000,58461300000,0.74941023,793371300000,139315800000,288626000
BAJAJFINSV,1221890,1012210000000,30.05065332,211.6959,Finance,6620.1499,1.3437238,211.7,,6893400000,Life/Health Insurance,494974300000,1032597000000,33691300000.000004,6.48669057,,1.46450013,12.23643779,4.12990698,,1057849300000,494974300000,-29.52301168,-13.55475533,,,,,12.20973803,2513841900000,56363000000,159137000
ONGC,15570377,1010830000000,9.46173479,8.4921,Energy Minerals,80.300003,0.8002471,8.67,612035000000,142366500000,Integrated Oil,4250014200000,1057790600000.0002,109071500000,2.51372337,0.40515524,2.18230266,5.13146702,3.90691672,,1168280100000,4250014200000,-37.65527717,-47.04912081,,29.54122365,1257732300000,274960700000,-6.35568163,5038980700000,807220900000,12580300000
BPCL,14373074,962930000000,28.56517533,15.5364,Energy Minerals,437.29999,0.8359241,15.53,88342600000,,Oil Refining/Marketing,2845719000000,552748400000,30553600000,1.0736689,0.34851468,2.12329697,8.11548394,3.98181483,,616482200000,2845719000000,-11.03651736,25.08580592,,8.3912607,238791700000,46835000000,14.91262685,1508635600000,432306800000,2169250000
BRITANNIA,3785159,910613000000,53.62374689,70.5944,Consumer Non-Durables,3982.6499,0.75666416,58.3507,21654500000,1389700000,Food: Specialty/Candy,115977600000,4217800000,14026300000,13.77690872,,19.91799234,32.41269027,29.53337383,,15534000000,115977600000,31.53609551,43.80133596,,35.02157893,32106700000,12398600000,15.82352736,78422300000,36749700000,240642000
TITAN,3349881,885789000000,59.46095605,16.7816,Consumer Durables,1001.7,1.2403293,16.9116,24665800000,1230100000,Other Consumer Specialties,209875900000,28212100000,15013900000,7.07715445,0.34333295,11.7937672,23.39055962,21.52366794,17417087.13692946,35610000000,209875900000,-15.67826929,-9.03559753,12050,20.65924868,40196000000,10467700000,2.64897479,135497900000,101203000000,887786160
SBILIFE,1497335,874985000000,61.56833297,14.2251,Finance,854.45001,0.8279188,14.22,,0,Life/Health Insurance,432968800000,-21604800000,14221700000,3.28471553,,0.91073717,17.42927923,17.05885551,,0,432968800000,-11.14288397,15.16274661,,,,,10.13082839,1655801900000,14232300000,1000040000
NTPC,12349625,873690000000,8.04379935,10.9774,Utilities,87.150002,0.76354665,11.72,296570800000,,Electric Utilities,1094640399999.9998,1893619600000,116002300000,10.24448258,0.71135657,3.28584671,10.13668746,4.27509271,,1925762500000,1094640399999.9998,-26.79546241,-32.4680341,,27.6333748,309058300000,87122100000,-6.29032043,3773871300000,569058700000,9894560000
DABUR,3529550,866831000000,60.21472393,8.1759,Consumer Non-Durables,500.95001,0.5660149,8.18,17922500000,3359700000,Household/Personal Care,87035900000,-17352700000,14449600000,16.60188497,1.42080377,16.15088586,23.61541598,23.2563492,,4671300000,87035900000,9.28229078,22.25747651,,36.48103828,31751600000,6268700000,13.06850724,93540100000,48802600000,1767060000
BAJAJ_AUTO,766793,866683000000,16.62833913,180.1142,Consumer Durables,3002.55,0.89853185,180.1763,50956400000,0,Motor Vehicles,292044500000,-30960900000,52119100000,17.4202713,1.30545243,18.7429324,23.21776002,23.21776002,27248040.6792312,0,292044500000,-5.72841444,9.56612573,10718,24.40985807,57751000000,17504400000,12.2721367,266861000000,66160200000,289367020
POWERGRID,4719748,854057000000,7.72611787,21.1361,Utilities,163.5,0.5005175,21.14,329402400000,,Electric Utilities,377435400000,1329821400000,110594000000,29.30143807,0.55444129,4.35311709,18.41567942,5.66645072,,1384211100000,377435400000,-14.06044678,-20.36044812,,56.52146036,213332000000,54846500000,-4.60909595,2566532200000,181119300000,5231590000
IOC,20607847,818090000000,,-0.976,Energy Minerals,88.300003,0.5758631,-0.97,178841400000,10400000,Oil Refining/Marketing,4843622600000,1153808600000,-8931400000,-0.18439504,0.26855281,-0.26594792,-0.85933732,-0.58935589,,1259680500000,4843622600000,-29.66945201,-40.39823897,,10.33130657,500409500000,90988299999.9999,3.5169987,3297368300000,1103868300000,9414160000
COALINDIA,16602099,809757000000,4.81464041,27.1256,Energy Minerals,133,0.8677883,27.12,225086900000,,Coal,960803400000,-221205400000,167141900000,17.39605626,1.58661603,11.82299632,57.05284479,53.86668936,,64259900000,960803400000,-37.07121187,-43.00407358,,24.78145893,238101100000,77353500000,-3.09653916,1500215100000,835121600000,6207410000
SHREECEM,38325,803077000000,51.28565392,434.2335,Non-Energy Minerals,22266.1,0.84544545,435.345,37591000000,0,Construction Materials,126308000000,-4479500000,15358500000,11.93505948,1.77469248,8.66036549,13.44866809,11.42732357,,32525800000,126308000000,9.34077668,5.03099806,,50.61588901,50026400000,18246300000,2.70839237,199715700000,78938200000,36080800
HINDZINC,385726,794360000000,11.66934678,16.1063,Non-Energy Minerals,187.8,0.37807757,16.11,88470000000,,Other Metals/Minerals,185610000000,-216360000000,68050000000,36.66289532,4.24496582,15.21809623,18.41304201,,,6110000000,185610000000,-10.42212785,-15.82250489,,63.71962718,118270000000,27750000000,5.47598989,469750000000,248130000000,4225319000.000001
M_M,5771917,732363000000,535.27271818,1.1571,Consumer Durables,594,1.4781126,1.1502,125642700000,15123100000,Motor Vehicles,949261900000,683605500000,1270400000,0.13347469,0.97918404,0.07690114,0.31788132,0.14456618,16103923.93037696,825670100000,949261900000,11.74866168,-4.4478435,58946,28.35007143,219892000000,60467800000,18.78812356,1670066600000,639971200000,1243190000
GODREJCP,985318,716442000000,47.85896719,14.6403,Consumer Non-Durables,698.65002,0.8862702,14.6398,21432800000,53393200000,Household/Personal Care,99108000000,21676300000,14965800000,15.10049643,0.6829823,10.06042994,19.73731584,15.00406788,8804121.87971929,35749700000,99108000000,2.05975169,9.54919953,11257,44.67500101,39563100000,9664300000,7.40200154,152562700000,48083400000,1022320000
SBICARD,6764967,709288000000,57.22558743,13.35,Finance,751,0.9017351,13.35,50504571000,0,Major Banks,97517507000,166889029000,12448153000,12.76406894,,5.46661752,27.90144666,8.43085538,,173649347000,97517507000,,,,91.78782121,83470253000,,21.7278528,253027986000,,938957000
PIDILITIND,1520226,707770000000,63.40779325,21.9764,Process Industries,1440.5,0.61843103,21.98,15760200000,1840300000,Industrial Specialties,72944700000,-11423900000,11164200000,15.30462009,1.75353155,17.93415533,25.95540883,25.60796025,,2805900000,72944700000,3.8647343,21.74096767,,38.3159736,27948300000,5920100000,2.97744576,65357000000,37609500000,508127000
DRREDDY,628902,684606000000,35.0920167,117.6231,Health Technology,4092.1001,0.40405267,117.629,41050000000,3994000000,Pharmaceuticals: Generic,174600000000,-3638000000,19498000000,11.1672394,1.30886917,8.52058698,13.21069838,12.24406494,8064665.12702079,22102000000,174600000000,42.35619836,58.32318721,21650,51.27090493,88078000000,22808000000,2.15947668,232241000000,130370000000,166223000
ADANIPORTS,4328922,635938000000,16.98649763,18.4264,Transportation,317.29999,0.747905,18.3456,71310900000,0,Other Transportation,108450500000,227433200000,37631300000,32.89803012,1.88809025,6.33891044,15.00400006,7.77140268,47859885.26037069,300690700000,108450500000,-13.30601366,-21.65432346,2266,53.45600969,54541700000,13988100000,-9.05703666,622036700000,148199100000,2031750000
ICICIPRULI,2819864,631783000000,59.29601686,7.4263,Finance,436.29999,0.9069118,7.43,,0,Life/Health Insurance,226033000000,-4996000000,10669800000,4.72046326,,0.66870764,15.15209233,16.04680825,,0,226033000000,-9.56576206,17.00187763,,,,,11.41470349,1560308300000,8119200000,1435870000
DIVISLAB,1650814,600677000000,43.65376893,51.8489,Health Technology,2298.75,0.5294407,51.85,18221700000,,Pharmaceuticals: Other,53944200000,-10551300000,13765400000,25.51784993,3.03828102,16.61088636,19.29674418,19.29070023,,388500000,53944200000,24.53949507,41.59659983,,45.94729368,24785900000,6513800000,-0.26033192,85357000000,46798300000,265469000
ICICIGI,688425,585727000000,49.17175573,26.2655,Finance,1321.4,0.81712466,26.27,,0,Specialty Insurance,114546700000,4523638000,11937600000,10.42160097,,3.38921124,20.69875337,19.09312197,,4850000000,114546700000,-4.7158927,24.80166226,,,,,4.0349565,370420885000,326362000,454475000
TECHM,5461611,579658000000,13.08246095,46.2664,Technology Services,622.84998,0.7032668,46.2112,57261000000,33877000000,Information Technology Services,368677000000,-50901000000,40330000000,10.93911473,2.09139003,11.392591,19.43591041,18.8715002,2943857.99610336,36705000000,368677000000,-18.29332439,-7.70541625,125236,30.30050695,82679000000,30033000000,15.58875441,373535000000,228857000000,966178000
BANDHANBNK,9622656,568187000000,20.56615154,17.2048,Finance,350.5,1.875032,18.78,,,Major Banks,124346907000,100342697000,30237374000,21.51038681,,3.94339745,22.13309361,12.5393502,,163791771000,124346907000,-31.03787506,-34.43082844,,,,,20.61252166,917177991000,83529045000,1610280000
CIPLA,5469496,555521000000,35.93142109,19.1856,Health Technology,674.34998,0.62791115,19.19,32059900000,29340000000,Pharmaceuticals: Other,171319900000,7960000000,15465200000,9.02708909,1.66765457,6.49445218,10.05040409,8.36530345,,28164300000,171319900000,41.01839521,23.74529179,,40.50265031,69389100000,15777500000,5.99653716,236625600000,117038400000,806271000
HEROMOTOCO,1674948,552154000000,15.17446476,182.1514,Consumer Durables,2860.1499,1.009501,182.15,40609200000,,Motor Vehicles,292539700000,-46935500000,36381100000,12.43629497,1.72160773,19.00892708,26.43332707,26.07667874,,4509800000,292539700000,17.07291705,19.1729125,,22.86164921,66879399999.99999,13846800000,21.40627708,196740700000,86492000000,199741000
ADANIGREEN,899002,542868000000,,-0.1485,Utilities,349.95001,0.76988906,-0.7359,14893661000,29776000,Electric Utilities,25408121000,155676552000,-1150977000,-0.91157332,0.78464163,-0.1404507,-2.89821752,-0.17080899,,164595201000,25408121000,110.24332232,612.72917363,,61.46618732,14742269000,4441573000,-16.80731765,184251413000,25619627000,1564010000
HDFCAMC,361379,526384000000,41.76828407,59.3668,Finance,2462.75,0.7831038,59.3708,17056300000,60400000,Investment Managers,21399900000,905800000,12624100000,58.89672161,,33.34394253,35.56094524,35.12983661,8402002.3557126,1176800000,21399900000,-23.03184674,26.60326436,2547,96.35957321,20377400000,4346400000,0.7383319,43361100000,,212844000
BIOCON,3442969,517620000000,69.22213472,6.235,Health Technology,428,0.5754019,6.3186,16031000000,264000000,Pharmaceuticals: Major,62991000000,8591000000,7482000000,11.7508481,0.94977545,5.5934123,11.68715538,9.56123368,4995717.34475375,27153000000,62991000000,45.72692728,73.5604147,12609,36.18545043,15376000000,4677000000,12.26229508,144438000000,53250000000,1200000000
EICHERMOT,160448,514113000000,28.10980588,669.5534,Producer Manufacturing,19187.65,1.0526106,669.52,21803500000,,Trucks/Construction/Farm Machinery,91535800000,-52140900000,18274400000,19.96421072,2.86591227,15.31804105,19.33834754,19.25914919,,2490000000,91535800000,-14.77931624,2.3286758,,32.55906432,29803200000,6417900000,10.59578601,124497200000,63745900000,27304600
BERGEPAINT,1335303,507948000000,76.63882935,6.7655,Process Industries,523.70001,0.6861323,6.76,10609900000,2789600000,Industrial Specialties,63658200000,3676200000,6578100000,10.33346843,0.76643482,14.17141158,25.63147425,22.6668849,,7669000000,63658200000,1.58083991,70.69753164,,31.3628095,19965000000,4179500000,4.63536663,49050100000,25864500000,971220000
JSWSTEEL,6380397,499760000000,12.40996399,16.7795,Non-Energy Minerals,206.8,1.5471786,16.7767,114070000000,4150000000,Steel,720200000000,521280000000,40300000000,5.53115564,0.49329335,3.26667585,11.2894641,5.4656296,54523430.99401923,641330000000,720200000000,-23.42158576,-18.87014197,13209,28.51084271,135580000000,56280000000,6.43335049,1318200000000,365690000000,2417220000
AUROPHARMA,2279207,490255000000,17.31564525,48.3118,Health Technology,823.59998,1.0640478,48.32,48643000000,,Pharmaceuticals: Other,230985000000,28445400000,28309700000,12.25607723,0.76515579,10.22366813,18.44210447,18.1789869,,56867100000,230985000000,80.27798226,37.93334577,,39.73149772,91773800000,25583200000,5.12476476,289263400000,164125000000,585939000
MUTHOOTFIN,5138211,482367000000,15.44025157,77.9946,Finance,1229.75,1.2095975,78.3,44937090000,299960000,Finance/Rental/Leasing,97072670000,345653030000,31382450000,32.30892428,,6.49629265,28.84362013,8.81390923,,406959560000,97072670000,61.50108134,102.91230431,,66.76162263,64751850000,17520720000,4.21610169,548816920000.0001,,401037000
MARICO,1432550,458398000000,44.97783534,7.9219,Consumer Non-Durables,352.54999,0.33513463,7.91,14690000000,5380000000,Household/Personal Care,73150000000,-5720000000,10210000000,13.95762133,1.00952381,20.88148072,33.90900033,33.7743963,,3350000000,73150000000,3.20549756,-4.8191146,,40.35543404,29520000000,5910000000,6.22175373,50020000000,31820000000,1291080000
GAIL,7557332,455299000000,4.82836214,20.887,Utilities,100.2,0.8877091,20.89,90250100000,,Gas Distributors,725084200000,53460200000,94220500000,12.99442189,0.70626115,13.14812466,19.77919092,18.81285749,,65961899999.99999,725084200000,-17.22428748,-30.87271473,,16.45658532,119324100000,35261500000,0.70351759,749141800000,119944300000,4510140000
MCDOWELL_N,1507531,439580000000,66.5723627,9.0841,Consumer Non-Durables,600.34998,0.802252,9.29,15723000000,210000000,Beverages: Alcoholic,93254000000,17437000000,6589000000,7.06564866,0.58788898,7.26340737,19.34101416,17.05029176,,18172000000,93254000000,0.13343174,7.11927367,,37.33030219,34812000000,6496000000,-2.86384763,88513000000,48633000000,726639000
SIEMENS,1096727,412636000000,40.24621048,28.7965,Producer Manufacturing,1180.05,0.76107216,30.8716,13424000000,282000000,Electrical Products,135976000000,-43075000000,10994000000,7.95800223,1.8742703,,,,15026632.77710244,2692000000,135976000000,-21.1565444,-2.7003628,9049,19.8371927,20680000000,5602000000,10.60549255,153833000000,122178000000,356120000
LUPIN,2390319,406219000000,,-5.9382,Health Technology,864.25,0.2262545,-5.95,25456800000,18514800000,Pharmaceuticals: Generic,153747600000,-5065200000,-2693900000,-1.84755238,1.29605212,-1.14434754,-2.30504058,-1.74494792,,42860300000,153747600000,13.20322073,13.69466254,,38.33108441,59871000000,14629500000,-5.48963961,249838500000,154132100000,453091000
VEDL,7764391,405547000000,,-17.9997,Non-Energy Minerals,108.1,1.6259329,-18,206870000000,,Other Metals/Minerals,844470000000,126400000000,-66640000000,-7.89134013,0.72936736,-3.45584899,-11.39807752,-7.07517372,,498000000000,844470000000,-29.09150541,-32.4375,,40.00971023,337870000000,80650000000,2.70783848,1836220000000,575200000000,3717200000
TORNTPHARM,422407,404889000000,39.51884645,60.5711,Health Technology,2372.5,0.34675846,60.5545,21700000000,3420900000,Pharmaceuticals: Major,78526000000,51733600000,10247200000,12.91094596,0.50501714,7.07418334,21.471432,12.22833705,5388827.88910239,58400300000,78526000000,28.30913172,53.12378985,14572,46.46680942,32076000000,9140000000,-6.7175219,140377900000,50089700000,169222000
IDBI,3783926,395501000000,,-15.1199,Finance,39.950001,1.6345198,-14.4224,,0,Major Banks,254872786000,427445926000,-128352369000,-50.36307005,,-4.12307639,-35.07740698,-17.88569915,14380905.37719348,610427913000,254872786000,7.97297568,15.96516645,17723,,,,25.8267748,3010299425000,340637285000,10380600000
TATASTEEL,9532817,395285000000,30.21055798,11.6168,Non-Energy Minerals,352.39999,1.2497793,11.86,174630600000,40545300000,Steel,1398166500000,1040778600000,15845200000,1.94040552,0.4118635,1.12107425,3.93328432,1.71195323,,1155644500000,1398166500000,-25.34689176,-22.51539188,,39.59151503,553675900000,150556400000,9.93604773,2504194500000,559092700000,1126490000
PETRONET,1612906,394725000000,14.60242837,18.0244,Industrial Services,266.20001,0.8315387,18.02,39894800000,,Oil & Gas Pipelines,354520000000,-12132700000,27033500000,7.625409,2.70997809,15.83920049,25.32234269,21.75199579,,34034100000,354520000000,-0.6531069,9.0090131,,11.43568769,40541700000,9080500000,2.22735032,188669000000,70488200000,1500000000
LTI,110407,394106000000,26.14016857,87.4672,Technology Services,2249.7,0.6182873,87.4507,20472000000,6368000000,Information Technology Services,108786000000,-18319000000,15201000000,13.97146692,2.69736616,19.43668276,29.51892637,27.49730889,3460444.69892165,9119000000,108786000000,28.51756641,41.40607813,31437,17.81846929,25748000000,5624000000,20.31446373,88249000000,62881000000,174183000
GRASIM,2286607,389717000000,8.80939917,67.2223,Non-Energy Minerals,603.15002,1.023663,67.42,182586700000,200465000000,Construction Materials,776251000000,693546800000,44251900000,5.78338719,0.97670523,1.85673633,7.86009872,3.87365688,,846620600000,776251000000,-18.89329607,-33.97011184,,45.53957647,355440500000,96619000000,0.31601164,2444158000000,523453400000,657806000
TATACONSUM,1680913,389632000000,80.58831374,5.2489,Consumer Non-Durables,423.10001,1.0663671,4.989,10474300000,73338300000,Food: Specialty/Candy,95702400000,-8686900000,4597600000,3.7931026,1.97147478,2.08665916,2.90515474,2.66867416,22977767.10684274,15863200000,95702400000,31.66329449,68.13035041,4165,32.28798783,26916500000,7974800000,12.13888715,185026000000,56820600000,921552000
BOSCHLTD,40027,388848000000,59.89193171,220.1941,Producer Manufacturing,13256.2,1.367023,220.3,14814700000,,Auto Parts: OEM,98416300000,-24791200000,6495300000,5.90876238,1.60900032,4.49406498,6.36079856,6.3428315,,738200000,98416300000,-13.77856985,-16.70860705,,29.29606762,28804700000,6390400000,21.07113827,133113299999.99998,70193200000,29493600
COLPAL,782602,387947000000,47.50340619,30.0189,Consumer Non-Durables,1439.1,0.4721486,30.0187,12016900000,0,Household/Personal Care,45226834000,-3197718000,8164660000,18.04317704,0.80418204,30.68306584,53.69902011,50.98802053,14408038.86588086,1014967000,45226834000,-1.62690546,25.0793099,3139,53.52357633,21537485000,5565800000,6.07356085,26460638000,10120310000,271986000
CADILAHC,5951419,386206000000,32.83166507,11.495,Health Technology,374.29999,0.32233,11.49,27017000000,53915000000,Pharmaceuticals: Other,142531000000,58634000000,11766000000,8.27577475,0.71666626,4.98879577,11.33416819,8.42646537,,70411000000,142531000000,47.18835627,63.95093736,,43.51217522,62221000000,17048000000,3.38351066,236866000000,87154000000,1023740000
TATAMOTORS,39787958,385476000000,,-33.862,Consumer Durables,105.05,1.8840398,-34.88,186515400000,7770600000,Motor Vehicles,2610679700000,610667600000,-120708500000,-4.62364265,0.58474903,-3.83618215,-19.58630058,-8.53937698,,1056552700000,2610679700000,-43.26221676,-30.72864693,,22.7063703,592790600000,129925100000,2.48780488,3221212600000,1195872500000,3622897100
AMBUJACEM,2204860,384025000000,17.83458868,10.8469,Non-Energy Minerals,195.7,0.5491685,10.5507,47913600000,78814900000,Construction Materials,267077500000,-93314900000,20950000000,8.12068692,,5.40484271,9.02172427,9.00718662,23305191.97207679,410600000,267077500000,-0.28025478,-6.29638945,11460,51.60639019,110032600000,33089000000,2.56813417,401823400000,143190100000,1985650000
NAUKRI,796663,381944000000,,-19.6368,Commercial Services,3255.45,0.89761084,-19.46,3726230000,597060000,Personnel Services,13119300000,-7076690000,-2376230000,-18.11247551,,-7.80641825,-10.03021013,-9.91049305,,769000000,13119300000,28.67137013,46.31235955,,49.72856784,6524040000,1650490000,21.56500308,28988920000,15225420000,122516000
INDIGO,1476132,381487000000,,-6.0703,Transportation,971.45001,1.1745104,-6.07,56048110000,,Airlines,357560010000,20085180000,-2336780000,-0.65353226,1.34876889,-0.69621701,-3.64445657,-1.51037192,,223801150000,357560010000,-27.15308687,-30.5139294,,14.44480886,51648860000,7090990000,-5.46418743,421010780000,224564600000,384796000
