Date,ATULAUTO,GOODYEAR,AXISBANK,ALCHEM,COALINDIA,NDTV,GUJALKALI
2015-01-01,649.546142578125,573.6864624023438,487.9278869628906,32.5,253.20028686523438,120.19999694824219,167.28378295898438
2015-01-02,636.7056884765625,573.7313842773438,499.8356628417969,31.950000762939453,254.09909057617188,118.55000305175781,169.4539337158203
2015-01-05,620.6199951171875,574.9863891601562,503.1406555175781,31.75,252.26820373535156,117.30000305175781,173.00921630859375
2015-01-06,601.617919921875,557.9076538085938,485.35186767578125,31.100000381469727,252.2016143798828,112.19999694824219,164.65194702148438
2015-01-07,610.0371704101562,543.3839721679688,485.0116882324219,31.600000381469727,249.60501098632812,111.6500015258789,162.94354248046875
2015-01-08,618.0331420898438,553.78369140625,488.0250244140625,31.600000381469727,251.93528747558594,113.25,165.29837036132812
2015-01-09,611.354248046875,551.0491943359375,481.560791015625,31.600000381469727,250.1709442138672,111.69999694824219,164.0055389404297
2015-01-12,616.8572387695312,554.8594970703125,487.53900146484375,31.700000762939453,238.8192138671875,113.19999694824219,164.0517120361328
2015-01-13,614.4584350585938,559.4765625,488.7540588378906,32.04999923706055,240.650146484375,111.69999694824219,164.83665466308594
2015-01-14,609.378662109375,555.9801025390625,487.2474060058594,31.75,242.0482940673828,112.0,164.14404296875
2015-01-15,631.6260986328125,551.6767578125,499.7870788574219,31.600000381469727,245.34397888183594,111.9000015258789,177.0262451171875
2015-01-16,648.229248046875,559.9249267578125,500.51611328125,31.5,251.60240173339844,113.05000305175781,174.34823608398438
2015-01-19,663.0919799804688,557.324951171875,513.8819580078125,32.04999923706055,252.2016143798828,111.25,171.9472198486328
2015-01-20,642.2557373046875,560.373046875,536.1422729492188,31.549999237060547,254.1656494140625,112.75,174.0250244140625
2015-01-21,627.1107177734375,553.3353881835938,531.6222534179688,31.600000381469727,260.0912170410156,114.4000015258789,176.1951446533203
2015-01-22,614.1762084960938,551.228515625,549.1679077148438,37.900001525878906,263.3203430175781,113.30000305175781,174.99464416503906
2015-01-23,595.7387084960938,554.3215942382812,549.2164916992188,40.900001525878906,262.2550354003906,111.69999694824219,177.11859130859375
2015-01-27,572.7388305664062,557.773193359375,575.75390625,36.25,254.99790954589844,111.8499984741211,178.08822631835938
2015-01-28,581.9576416015625,548.0010986328125,574.1013793945312,34.400001525878906,255.69700622558594,111.0999984741211,178.96551513671875
2015-01-29,575.3727416992188,548.0010986328125,582.461181640625,35.04999923706055,249.77146911621094,110.5999984741211,177.16476440429688
2015-01-30,575.231689453125,544.5494995117188,572.2545166015625,34.25,240.25067138671875,111.3499984741211,178.27293395996094
2015-02-02,585.25,549.4803466796875,599.8125,34.0,236.2892303466797,113.05000305175781,182.5207977294922
2015-02-03,573.9146728515625,548.3596801757812,570.1159057617188,33.849998474121094,237.48764038085938,110.5999984741211,181.6435089111328
2015-02-04,565.7307739257812,550.2872314453125,543.67578125,33.650001525878906,243.57962036132812,110.55000305175781,179.38104248046875
2015-02-05,559.7573852539062,545.3563232421875,550.6260375976562,32.75,246.04299926757812,102.05000305175781,173.19390869140625
2015-02-06,535.5816040039062,531.7290649414062,547.1752319335938,32.5,242.44773864746094,94.75,163.08209228515625
2015-02-09,515.68603515625,511.064208984375,538.2808227539062,31.950000762939453,240.15078735351562,90.5999984741211,161.55838012695312
2015-02-10,553.0784301757812,516.577880859375,538.232177734375,31.799999237060547,245.21078491210938,94.25,161.69691467285156
2015-02-11,568.41162109375,522.5396118164062,553.68798828125,32.150001525878906,247.44117736816406,94.5999984741211,167.56082153320312
2015-02-12,562.06201171875,521.1949462890625,563.0684204101562,32.900001525878906,245.51040649414062,113.4000015258789,170.00799560546875
2015-02-13,558.8165283203125,531.2360229492188,564.818115234375,34.650001525878906,251.33607482910156,105.55000305175781,172.08575439453125
2015-02-16,536.663330078125,539.9323120117188,555.0489501953125,33.29999923706055,251.13636779785156,106.5999984741211,178.08822631835938
2015-02-18,548.1868896484375,572.431396484375,553.542236328125,32.900001525878906,253.6331024169922,113.30000305175781,173.00921630859375
2015-02-19,547.9515380859375,567.7246704101562,549.5081176757812,32.650001525878906,256.3961181640625,112.69999694824219,170.7467498779297
2015-02-20,541.8370971679688,560.5524291992188,545.2310791015625,33.25,254.79823303222656,110.69999694824219,175.2716827392578
2015-02-23,544.1888427734375,556.2939453125,534.1008911132812,34.45000076293945,255.56385803222656,113.19999694824219,171.3008270263672
2015-02-24,530.7840576171875,559.4317626953125,536.1422729492188,33.5,255.8967742919922,116.69999694824219,168.89984130859375
2015-02-25,531.9599609375,549.3458862304688,537.3086547851562,33.099998474121094,257.5945129394531,112.80000305175781,167.09909057617188
2015-02-26,521.8475341796875,539.035888671875,537.01708984375,32.150001525878906,255.796875,117.5999984741211,167.69937133789062
2015-02-27,527.2564697265625,537.6910400390625,551.3064575195312,32.45000076293945,263.2870788574219,121.80000305175781,170.33119201660156
2015-03-02,551.2440185546875,526.0361328125,629.8978881835938,32.20000076293945,262.7877197265625,117.5999984741211,164.9751739501953
2015-03-03,556.4177856445312,524.2431640625,615.1710815429688,32.900001525878906,266.5468444824219,121.5999984741211,166.1756591796875
2015-03-04,555.7123413085938,520.4329223632812,595.5354614257812,32.650001525878906,261.4526672363281,118.9000015258789,166.1756591796875
2015-03-05,545.1295166015625,521.1054077148438,599.3750610351562,32.849998474121094,255.72616577148438,118.19999694824219,163.77467346191406
2015-03-09,544.8944091796875,515.7261352539062,575.1221313476562,32.0,250.8076629638672,117.30000305175781,161.78924560546875
2015-03-10,537.8391723632812,504.7436828613281,569.3869018554688,31.5,260.4338073730469,115.9000015258789,160.5887451171875
2015-03-11,542.3074951171875,504.7436828613281,567.6371459960938,31.600000381469727,259.4852294921875,113.5,156.71023559570312
2015-03-12,549.8330688476562,504.2955322265625,568.46337890625,32.099998474121094,256.28826904296875,116.4000015258789,157.3105010986328
2015-03-13,544.6593017578125,499.5887145996094,554.1740112304688,31.899999618530273,256.25311279296875,110.19999694824219,155.92530822753906
2015-03-16,547.4813842773438,494.4336853027344,552.9589233398438,31.75,256.1125793457031,111.0,158.3262939453125
2015-03-17,540.8964233398438,491.29583740234375,563.6516723632812,31.5,254.11007690429688,108.80000305175781,156.29469299316406
2015-03-18,548.1868896484375,483.6754150390625,562.3880004882812,32.25,256.0072021484375,106.19999694824219,154.54014587402344
2015-03-19,533.6060791015625,484.7960510253906,548.3416748046875,30.899999618530273,256.70989990234375,117.0999984741211,154.67864990234375
