Date,ATULAUTO,GOODYEAR,AXISBANK,ALCHEM,COALINDIA,NDTV,GUJALKALI
2018-01-01,442.1337890625,1033.19873046875,564.1494140625,14.869999885559082,218.54580688476562,45.5,725.4430541992188
2018-01-02,439.3123779296875,1020.076904296875,559.005859375,14.449999809265137,221.74462890625,45.45000076293945,717.1766967773438
2018-01-03,443.2039489746094,1051.6258544921875,559.655029296875,14.449999809265137,223.34400939941406,46.099998474121094,720.2401123046875
2018-01-04,442.1824035644531,1126.7554931640625,558.6063232421875,14.670000076293945,227.85520935058594,46.599998474121094,737.5994262695312
2018-01-05,440.91766357421875,1165.0782470703125,562.401611328125,14.399999618530273,228.63442993164062,46.599998474121094,767.601318359375
2018-01-08,437.60980224609375,1153.661865234375,564.6488037109375,14.609999656677246,236.09835815429688,46.95000076293945,772.2693481445312
2018-01-09,439.5555725097656,1145.9405517578125,564.4490966796875,14.399999618530273,249.38580322265625,48.150001525878906,831.446533203125
2018-01-10,436.685546875,1138.8349609375,561.852294921875,14.4399995803833,252.70765686035156,49.599998474121094,845.4020385742188
2018-01-11,439.1664123535156,1140.208740234375,557.5576171875,14.220000267028809,252.54359436035156,50.599998474121094,829.3556518554688
2018-01-12,437.22064208984375,1157.6409912109375,555.0607299804688,14.390000343322754,252.62562561035156,49.45000076293945,818.4635009765625
2018-01-15,437.31793212890625,1179.620849609375,560.0045776367188,14.449999809265137,250.5341339111328,49.099998474121094,891.4016723632812
2018-01-16,444.9552001953125,1176.1156005859375,558.0570068359375,13.989999771118164,239.09213256835938,47.849998474121094,865.5816040039062
2018-01-17,443.0093994140625,1148.40380859375,584.0247802734375,13.979999542236328,238.92807006835938,47.25,875.258056640625
2018-01-18,445.3929748535156,1122.3499755859375,582.97607421875,13.850000381469727,232.2023468017578,45.95000076293945,845.8883056640625
2018-01-19,430.0212097167969,1114.5810546875,589.5179443359375,13.899999618530273,233.3096466064453,45.900001525878906,849.826904296875
2018-01-22,429.6320495605469,1114.676025390625,610.2921142578125,13.979999542236328,233.22763061523438,45.0,864.7550048828125
2018-01-23,426.5673828125,1096.2962646484375,618.1324462890625,13.9399995803833,240.3224639892578,46.5,853.1820678710938
2018-01-24,425.8377380371094,1076.779541015625,607.1460571289062,13.399999618530273,242.00389099121094,46.099998474121094,826.632568359375
2018-01-25,421.8974914550781,1065.931640625,612.98876953125,13.5,245.77688598632812,45.95000076293945,802.7088623046875
2018-01-29,411.6333923339844,1061.7630615234375,604.649169921875,13.600000381469727,246.51507568359375,44.95000076293945,774.5547485351562
2018-01-30,407.449951171875,1063.373779296875,592.6640625,13.4399995803833,250.7391815185547,45.0,741.4407958984375
2018-01-31,396.748046875,1062.89990234375,592.6640625,12.989999771118164,244.91563415527344,42.75,733.855224609375
2018-02-01,403.4610595703125,1022.256103515625,589.468017578125,13.399999618530273,242.6190643310547,42.150001525878906,731.1808471679688
2018-02-02,404.14208984375,967.8273315429688,564.2493286132812,12.989999771118164,239.62527465820312,40.95000076293945,687.9041748046875
2018-02-05,400.4936828613281,950.1107177734375,565.3978881835938,12.350000381469727,242.00389099121094,41.75,722.622802734375
2018-02-06,401.8557434082031,949.7791137695312,563.4003295898438,11.850000381469727,238.39492797851562,40.849998474121094,702.4432373046875
2018-02-07,405.7960205078125,991.7968139648438,558.007080078125,12.399999618530273,244.30047607421875,42.849998474121094,702.9780883789062
2018-02-08,415.087158203125,1029.6458740234375,567.794921875,13.020000457763672,246.14598083496094,44.95000076293945,709.7369995117188
2018-02-09,411.7793273925781,1042.3411865234375,556.8085327148438,12.899999618530273,246.43307495117188,46.79999923706055,722.2824096679688
2018-02-12,415.5250244140625,1090.2327880859375,562.1019897460938,12.989999771118164,246.22801208496094,46.45000076293945,739.30126953125
2018-02-14,407.6931457519531,1101.7437744140625,543.275390625,12.529999732971191,252.2975616455078,44.349998474121094,748.5887451171875
2018-02-15,409.24981689453125,1109.3232421875,543.0756225585938,12.3100004196167,252.09251403808594,44.599998474121094,781.5081787109375
2018-02-16,404.725830078125,1108.6126708984375,537.0830688476562,12.0,248.52456665039062,45.0,768.1848754882812
2018-02-19,404.96905517578125,1102.217529296875,538.7809448242188,11.970000267028809,249.87794494628906,43.650001525878906,745.86572265625
2018-02-20,399.1316833496094,1102.549072265625,531.0405883789062,11.380000114440918,254.47113037109375,42.150001525878906,731.278076171875
2018-02-21,400.7369689941406,1116.2391357421875,534.5362548828125,11.600000381469727,255.00424194335938,43.599998474121094,734.5846557617188
2018-02-22,400.0072326660156,1130.260986328125,529.3426513671875,11.59000015258789,255.94747924804688,42.849998474121094,720.2401123046875
2018-02-23,402.8773193359375,1137.129638671875,535.884521484375,11.180000305175781,254.7172088623047,43.400001525878906,731.0349731445312
2018-02-26,408.56878662109375,1127.987060546875,551.614990234375,11.699999809265137,257.7109680175781,43.400001525878906,739.252685546875
2018-02-27,413.8710632324219,1132.392578125,536.8333740234375,11.600000381469727,254.79920959472656,42.400001525878906,730.1597290039062
2018-02-28,413.48193359375,1127.6080322265625,528.943115234375,11.069999694824219,253.89697265625,42.25,716.6904296875
2018-03-01,424.5242919921875,1131.397705078125,525.4474487304688,11.350000381469727,256.5626525878906,42.70000076293945,707.2571411132812
2018-03-05,410.6605224609375,1124.765869140625,523.0005493164062,10.930000305175781,250.5751190185547,44.150001525878906,688.536376953125
2018-03-06,416.9843444824219,1122.0657958984375,516.1589965820312,11.050000190734863,251.3543243408203,43.29999923706055,688.341796875
