,Ticker,Quantity,Buy Price,ltp,buy_value,now_value,pnl,Weightage
0,AARTIIND,35.0,925.05,950.75,32376.75,33276.25,899.5,0.22431209252029227
1,ADANIENT,50.0,150.2,162.75,7509.999999999999,8137.5,627.5000000000009,0.05485412727948247
2,CUMMINSIND,50.0,354.64,400.3999938964844,17732.0,20019.99969482422,2287.9996948242188,0.13495294763687715
3,ITC,100.0,187.56,195.4499969482422,18756.0,19544.99969482422,788.9996948242188,0.13175101701226835
4,TATACONSUM,50.0,368.45,433.3500061035156,18422.5,21667.50030517578,3245.0003051757812,0.14605859533865898
5,TECHM,60.0,541.13,577.2999877929688,32467.8,34637.999267578125,2170.1992675781257,0.23349151711586494
6,UPL,25.0,382.7,442.54998779296875,9567.5,11063.749694824219,1496.2496948242188,0.07457970309655582
