Ticker,Company name,Security Code,Group,Face Value,ISIN No,Industry, BSE Market Cap ,Categorization
ATULAUTO,ATUL AUTO LTD.,531795,B ,5,INE951D01028,2/3 Wheelers,511.58,Small Cap
TVSMOTOR,TVS MOTOR COMPANY LTD.,532343,A ,1,INE494B01023,2/3 Wheelers,"19,895.70",Mid Cap
ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,505029,T ,5,INE446A01025,2/3 Wheelers,31.69,Small Cap
EICHERMOT,EICHER MOTORS LTD.,505200,A ,10,INE066A01013,2/3 Wheelers,"52,402.57",Large Cap
MAJESAUT,MAJESTIC AUTO LTD.,500267,X ,10,INE201B01022,2/3 Wheelers,135.25,Small Cap
KINETICENG,KINETIC ENGINEERING LTD.,500240,XT,10,INE266B01017,2/3 Wheelers,58.44,Small Cap
JRELTD,JUSTRIDE ENTERPRISES LIMITED,531035,P ,10,INE432F01024,2/3 Wheelers,1.12,Small Cap
HEROMOTOCO,HERO MOTOCORP LTD.,500182,A ,2,INE158A01026,2/3 Wheelers,"50,920.96",Large Cap
BAJAJ-AUTO,BAJAJ AUTO LTD.,532977,A ,10,INE917I01010,2/3 Wheelers,"85,371.33",Large Cap
SCOOTER,SCOOTERS INDIA LTD.,505141,T ,10,INE959E01011,2/3 Wheelers,125.94,Small Cap
PRESSMN,PRESSMAN ADVERTISING LIMITED,509077,B ,2,INE980A01023,Advertising & Media,50.33,Small Cap
DNAMEDIA,DILIGENT MEDIA CORPORATION LIM,540789,T ,1,INE016M01021,Advertising & Media,4.95,Small Cap
SMEL,SUNGOLD MEDIA AND ENTERTAINMEN,541799,M ,10,INE266S01011,Advertising & Media,3.21,Small Cap
ESHAMEDIA,ESHA MEDIA RESEARCH LIMITED,531259,XT,10,INE328F01016,Advertising & Media,3.47,Small Cap
NETWORK18,NETWORK18 MEDIA & INVESTMENTS,532798,A ,5,INE870H01013,Advertising & Media,"2,473.01",Small Cap
AFFLE,AFFLE (INDIA) LIMITED,542752,B ,10,INE00WC01019,Advertising & Media,"3,146.89",Small Cap
VISIONCINE,VISION CINEMAS LTD.,526441,X ,1,INE515B01025,Advertising & Media,6.57,Small Cap
TANAA,TANEJA AEROSPACE & AVIATION LT,522229,X ,5,INE692C01020,Aerospace,57.24,Small Cap
HAL,HINDUSTAN AERONAUTICS LIMITED,541154,A ,10,INE066F01012,Aerospace,"23,904.32",Mid Cap
INSECTICID,INSECTICIDES (INDIA) LTD.,532851,B ,10,INE070I01018,Agrochemicals,"1,190.38",Small Cap
SHARDACROP,SHARDA CROPCHEM LIMITED,538666,B ,10,INE221J01015,Agrochemicals,"2,444.90",Small Cap
SHIVALIK,SHIVALIK RASAYAN LTD.,539148,X ,5,INE788J01021,Agrochemicals,296.08,Small Cap
JUBLINDS,JUBILANT INDUSTRIES LTD.,533320,B ,10,INE645L01011,Agrochemicals,137.23,Small Cap
ADARSHPL,ADARSH PLANT PROTECT LTD.,526711,X ,10,INE627D01016,Agrochemicals,3.1,Small Cap
BHASKAGR,BHASKAR AGROCHEMICALS LTD.,524534,XT,10,INE972C01018,Agrochemicals,9.03,Small Cap
NACLIND,NACL INDUSTRIES LIMITED,524709,B ,1,INE295D01020,Agrochemicals,456.69,Small Cap
BAYERCROP,BAYER CROPSCIENCE LTD.,506285,A ,10,INE462A01022,Agrochemicals,"11,543.42",Mid Cap
BHARATRAS,BHARAT RASAYAN LTD.,590021,B ,10,INE838B01013,Agrochemicals,"2,266.55",Small Cap
AIMCOPEST,AIMCO PESTICIDES LTD.,524288,X ,10,INE008B01013,Agrochemicals,100.3,Small Cap
PHYTO,PHYTO CHEM (INDIA) LTD.,524808,X ,10,INE037C01010,Agrochemicals,10.25,Small Cap
PIIND,P.I.INDUSTRIES LTD.,523642,A ,1,INE603J01030,Agrochemicals,"17,778.10",Mid Cap
MODIPON,MODIPON LTD.,503776,X ,10,INE170C01019,Agrochemicals,13.53,Small Cap
RALLIS,RALLIS INDIA LTD.,500355,A ,1,INE613A01020,Agrochemicals,"3,227.79",Small Cap
KILPEST,KILPEST INDIA LTD.,532067,X ,10,INE994E01018,Agrochemicals,64.56,Small Cap
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTR,531719,X ,10,INE414D01019,Agrochemicals,342.39,Small Cap
UPL,UPL LIMITED,512070,A ,2,INE628A01036,Agrochemicals,"44,325.25",Large Cap
ASTEC,ASTEC LIFESCIENCES LIMITED,533138,B ,10,INE563J01010,Agrochemicals,739.5,Small Cap
DHANUKA,DHANUKA AGRITECH LTD.,507717,B ,2,INE435G01025,Agrochemicals,"1,598.86",Small Cap
PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROT,506618,B ,10,INE277B01014,Agrochemicals,655.86,Small Cap
SUCROSA,SUPER CROP SAFE LTD.,530883,X ,2,INE366G01022,Agrochemicals,73.62,Small Cap
JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,532617,Z ,10,INE802G01018,Airlines,367.28,Small Cap
INDIGO,INTERGLOBE AVIATION LIMITED,539448,A ,10,INE646L01027,Airlines,"59,463.19",Large Cap
TAALENT,TAAL ENTERPRISES LIMITED,539956,X ,10,INE524T01011,Airlines,69.19,Small Cap
SPICEJET,SPICEJET LTD.,500285,A ,10,INE285B01017,Airlines,"7,263.74",Small Cap
GLOBALVECT,GLOBAL VECTRA HELICORP LTD.,532773,B ,10,INE792H01019,Airlines,75.31,Small Cap
GMRINFRA,GMR INFRASTRUCTURE LTD.,532754,A ,1,INE776C01039,Airport Services,"10,738.29",Mid Cap
HINDALUMI,HIND ALUMINIUM INDUSTRIES LTD.,531979,X ,10,INE227B01019,Aluminium,31.49,Small Cap
SUDAI,SUDAL INDUSTRIES LTD.,506003,X ,10,INE618D01015,Aluminium,6.48,Small Cap
SACHEMT,SACHETA METALS LTD.,531869,X ,10,INE433G01012,Aluminium,29.37,Small Cap
CENTEXT,CENTURY EXTRUSIONS LTD.,500083,B ,1,INE281A01026,Aluminium,22.94,Small Cap
NATIONALUM,NATIONAL ALUMINIUM CO.LTD.,532234,A ,5,INE139A01034,Aluminium,"8,211.75",Small Cap
UNIVPRIM,UNIVERSAL PRIME ALUMINIUM LTD.,504673,XT,10,INE621D01019,Aluminium,2.59,Small Cap
ARFIN,ARFIN INDIA LIMITED,539151,X ,10,INE784R01015,Aluminium,100.42,Small Cap
MNKALCOLTD,MANAKSIA ALUMINIUM COMPANY LTD,539045,B ,1,INE859Q01017,Aluminium,31.35,Small Cap
SYNTHFO,SYNTHIKO FOILS LTD.,513307,XT,5,INE363L01029,Aluminium,4.14,Small Cap
HINDALCO,HINDALCO INDUSTRIES LTD.,500440,A ,1,INE038A01020,Aluminium,"43,559.76",Large Cap
ALICON,ALICON CASTALLOY LIMITED,531147,B ,5,INE062D01024,Aluminium,552.04,Small Cap
BMAL,BOTHRA METALS & ALLOYS LTD.,535279,M ,10,INE583M01012,Aluminium,11.11,Small Cap
GOLKONDA,GOLKONDA ALUMINIUM EXTRUSIONS ,513309,Z ,10,INE327C01031,Aluminium,2.52,Small Cap
PALCO,PALCO METALS LIMITED,539121,X ,10,INE239L01013,Aluminium,9.05,Small Cap
PGFOILQ,PG FOILS LTD.,526747,X ,10,INE078D01012,Aluminium,60.1,Small Cap
MAITRI,MAITRI ENTERPRISES LIMITED,513430,XT,10,INE501L01024,Aluminium,1.5,Small Cap
VEDL,VEDANTA LIMITED,500295,A ,1,INE205A01025,Aluminium,"55,619.84",Large Cap
SRAMSET,SHRIRAM ASSET MANAGEMENT CO.LT,531359,X ,10,INE777G01012,Asset Management Cos.,80.08,Small Cap
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY ,541729,A ,5,INE127D01025,Asset Management Cos.,"58,001.13",Large Cap
IVC,IL&FS INVESTMENT MANAGERS LTD.,511208,T ,2,INE050B01023,Asset Management Cos.,112.03,Small Cap
ISTLTD,IST LTD.,508807,X ,5,INE684B01029,Auto Parts & Equipment,376.97,Small Cap
JAYBARMARU,JAY BHARAT MARUTI LTD.,520066,B ,5,INE571B01028,Auto Parts & Equipment,412.73,Small Cap
SIBARAUT,SIBAR AUTO PARTS LTD.,520141,X ,10,INE441C01014,Auto Parts & Equipment,26.63,Small Cap
PRICOLLTD,PRICOL LIMITED,540293,B ,1,INE726V01018,Auto Parts & Equipment,318.78,Small Cap
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,517334,A ,1,INE775A01035,Auto Parts & Equipment,"36,837.49",Large Cap
SIMMOND,SIMMONDS MARSHALL LTD.,507998,X ,2,INE657D01021,Auto Parts & Equipment,52.08,Small Cap
JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,520051,A ,1,INE039C01032,Auto Parts & Equipment,"1,644.10",Small Cap
IPRINGLTD,IP RINGS LTD.,523638,X ,10,INE558A01019,Auto Parts & Equipment,35.85,Small Cap
AMFORG,AMFORGE INDUSTRIES LTD.,513117,X ,2,INE991A01020,Auto Parts & Equipment,1.38,Small Cap
PPAP,PPAP,532934,B ,10,INE095I01015,Auto Parts & Equipment,258.13,Small Cap
JAINEX,JAINEX AAMCOL LTD.,505212,XT,10,INE280F01019,Auto Parts & Equipment,6.52,Small Cap
PRADPME,PRADEEP METALS LTD.,513532,X ,10,INE770A01010,Auto Parts & Equipment,84.8,Small Cap
PANKAJPIYUS,PANKAJ PIYUSH TRADE & INV. LTD,506122,XT,10,INE820M01018,Auto Parts & Equipment,1.2,Small Cap
FRONTSP,FRONTIER SPRINGS LTD.,522195,X ,10,INE572D01014,Auto Parts & Equipment,75.93,Small Cap
JAGANLAM,JAGAN LAMPS LTD.,530711,X ,10,INE144C01014,Auto Parts & Equipment,7.83,Small Cap
TALBROSENG,TALBROS ENGINEERING LIMITED,538987,X ,10,INE717E01013,Auto Parts & Equipment,47.82,Small Cap
GSAUTO,G.S.AUTO INTERNATIONAL LTD.,513059,X ,5,INE736H01024,Auto Parts & Equipment,6.25,Small Cap
GABRIEL,GABRIEL INDIA LTD.,505714,B ,1,INE524A01029,Auto Parts & Equipment,"1,568.12",Small Cap
TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS,505160,B ,10,INE187D01011,Auto Parts & Equipment,142.98,Small Cap
AMARAJABAT,AMARA RAJA BATTERIES LTD.,500008,A ,1,INE885A01032,Auto Parts & Equipment,"11,564.66",Mid Cap
GAJRA,GAJRA BEVEL GEARS LTD.,505711,XT,10,INE282D01010,Auto Parts & Equipment,0.44,Small Cap
PRECAM,PRECISION CAMSHAFTS LIMITED,539636,B ,10,INE484I01029,Auto Parts & Equipment,367.62,Small Cap
KRANTI,KRANTI INDUSTRIES LIMITED,542459,M ,10,INE911T01010,Auto Parts & Equipment,27.25,Small Cap
FIEMIND,FIEM INDUSTRIES LTD.,532768,B ,10,INE737H01014,Auto Parts & Equipment,511.96,Small Cap
JMTAUTOLTD,JMT AUTO LTD.,513691,T ,1,INE988E01036,Auto Parts & Equipment,71.76,Small Cap
FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) L,505744,B ,10,INE529A01010,Auto Parts & Equipment,"3,100.43",Small Cap
KIRLOSENG,KIRLOSKAR OIL ENGINES LTD.,533293,B ,2,INE146L01010,Auto Parts & Equipment,"2,461.19",Small Cap
ASAHIINDIA,ASAHI INDIA GLASS LTD.,515030,B ,1,INE439A01020,Auto Parts & Equipment,"4,749.08",Small Cap
KALYANIFRG,KALYANI FORGE LTD.,513509,T ,10,INE314G01014,Auto Parts & Equipment,63.5,Small Cap
SUPRAJIT,SUPRAJIT ENGINEERING LTD.,532509,A ,1,INE399C01030,Auto Parts & Equipment,"2,505.39",Small Cap
UCALFUEL,UCAL FUEL SYSTEMS LTD.,500464,B ,10,INE139B01016,Auto Parts & Equipment,285.74,Small Cap
UNIAUTO,UNIVERSAL AUTOFOUNDRY LIMITED,539314,M ,10,INE203T01012,Auto Parts & Equipment,45.53,Small Cap
SSWL,STEEL STRIPS WHEELS LTD.,513262,B ,10,INE802C01017,Auto Parts & Equipment,"1,211.68",Small Cap
RACLGEAR,RACL GEARTECH LIMITED,520073,X ,10,INE704B01017,Auto Parts & Equipment,78.34,Small Cap
STERTOOLS,STERLING TOOLS LTD.,530759,B ,2,INE334A01023,Auto Parts & Equipment,627.55,Small Cap
SUBROS,SUBROS LTD.,517168,B ,2,INE287B01021,Auto Parts & Equipment,"1,501.81",Small Cap
SUNDRMFAST,SUNDRAM FASTENERS LTD.,500403,A ,1,INE387A01021,Auto Parts & Equipment,"9,545.00",Mid Cap
AUTOPINS,AUTO PINS (INDIA) LTD.,531994,X ,10,INE706C01028,Auto Parts & Equipment,16.01,Small Cap
AUTOIND,AUTOLINE INDUSTRIES LTD.,532797,T ,10,INE718H01014,Auto Parts & Equipment,88.3,Small Cap
AUTOLITIND,AUTOLITE (INDIA) LTD.,500029,B ,10,INE448A01013,Auto Parts & Equipment,25.33,Small Cap
ACGL,AUTOMOBILE CORPORATION OF GOA,505036,X ,10,INE451C01013,Auto Parts & Equipment,328.01,Small Cap
AUTOAXLES,AUTOMOTIVE AXLES LTD.,505010,B ,10,INE449A01011,Auto Parts & Equipment,"1,299.19",Small Cap
ASAL,AUTOMOTIVE STAMPINGS & ASSEMBL,520119,T ,10,INE900C01027,Auto Parts & Equipment,54.66,Small Cap
SUNCLAYLTD,SUNDARAM-CLAYTON LTD.,520056,B ,5,INE105A01035,Auto Parts & Equipment,"4,177.69",Small Cap
SUNDRMBRAK,SUNDARAM BRAKE LININGS LTD.,590072,B ,10,INE073D01013,Auto Parts & Equipment,70.45,Small Cap
DUNCANENG,DUNCAN ENGINEERING LIMITED,504908,X ,10,INE340F01011,Auto Parts & Equipment,40.45,Small Cap
JAYUSH,JAY USHIN LTD.,513252,X ,10,INE289D01015,Auto Parts & Equipment,92.88,Small Cap
MENONBE,MENON BEARINGS LTD.,523828,B ,1,INE071D01033,Auto Parts & Equipment,347.11,Small Cap
RAJGLOWIR,RAJRATAN GLOBAL WIRE LTD.,517522,B ,10,INE451D01011,Auto Parts & Equipment,335.93,Small Cap
VELJAN,VELJAN DENISON LIMITED,505232,X ,10,INE232E01013,Auto Parts & Equipment,155.71,Small Cap
TIINDIA,TUBE INVESTMENTS OF INDIA LTD,540762,A ,1,INE974X01010,Auto Parts & Equipment,"7,487.56",Small Cap
EXIDEIND,EXIDE INDUSTRIES LTD.,500086,A ,1,INE302A01020,Auto Parts & Equipment,"15,850.84",Mid Cap
JBMA,JBM AUTO LTD.,532605,B ,5,INE927D01028,Auto Parts & Equipment,830.66,Small Cap
RASANDIK,RASANDIK ENGINEERING INDUSTRIE,522207,X ,10,INE682D01011,Auto Parts & Equipment,35.66,Small Cap
MINDAIND,MINDA INDUSTRIES LTD.,532539,A ,2,INE405E01023,Auto Parts & Equipment,"8,711.27",Mid Cap
RANEHOLDIN,RANE HOLDINGS LTD.,505800,B ,10,INE384A01010,Auto Parts & Equipment,"1,256.32",Small Cap
MINDACORP,MINDA CORPORATION LIMITED,538962,A ,2,INE842C01021,Auto Parts & Equipment,"2,094.83",Small Cap
RANEENGINE,RANE ENGINE VALVE LTD.,532988,B ,10,INE222J01013,Auto Parts & Equipment,178.62,Small Cap
ENKEIWHEL,ENKEI WHEELS (INDIA) LTD.,533477,X ,5,INE130L01014,Auto Parts & Equipment,583.47,Small Cap
VARROC,VARROC ENGINEERING LIMITED,541578,A ,1,INE665L01035,Auto Parts & Equipment,"5,988.27",Small Cap
ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED,540153,A ,10,INE913H01037,Auto Parts & Equipment,"14,054.18",Mid Cap
SHIVAMAUTO,SHIVAM AUTOTECH LTD.,532776,T ,2,INE637H01024,Auto Parts & Equipment,231.61,Small Cap
RML,RANE (MADRAS) LTD.,532661,B ,10,INE050H01012,Auto Parts & Equipment,314.27,Small Cap
SWARAJENG,SWARAJ ENGINES LTD.,500407,B ,10,INE277A01016,Auto Parts & Equipment,"1,380.85",Small Cap
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.,500039,B ,2,INE213C01025,Auto Parts & Equipment,731.32,Small Cap
JTEKTINDIA,JTEKT INDIA LTD,520057,B ,1,INE643A01035,Auto Parts & Equipment,"2,023.55",Small Cap
SPECTRA,SPECTRA INDUSTRIES LTD.,513687,X ,10,INE848B01012,Auto Parts & Equipment,1.07,Small Cap
OMAXAUTO,OMAX AUTOS LTD.,520021,B ,10,INE090B01011,Auto Parts & Equipment,94.6,Small Cap
MENNPIS,MENON PISTONS LTD.,531727,X ,1,INE650G01029,Auto Parts & Equipment,77.63,Small Cap
RBL,RANE BRAKE LINING LTD.,532987,B ,10,INE244J01017,Auto Parts & Equipment,419.27,Small Cap
GNA,G N A AXLES LIMITED,540124,B ,10,INE934S01014,Auto Parts & Equipment,535.95,Small Cap
PORWAL,PORWAL AUTO COMPONENTS LTD.,532933,X ,10,INE386I01018,Auto Parts & Equipment,28.1,Small Cap
WABCOINDIA,WABCO INDIA LTD.,533023,A ,5,INE342J01019,Auto Parts & Equipment,"11,710.46",Mid Cap
BGWTATO,BHAGWATI AUTOCAST LTD.,504646,X ,10,INE106G01014,Auto Parts & Equipment,27.63,Small Cap
HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,509635,B ,5,INE310C01029,Auto Parts & Equipment,261.13,Small Cap
SHANTIGEAR,SHANTHI GEARS LTD.,522034,B ,1,INE631A01022,Auto Parts & Equipment,752.7,Small Cap
BOSCHLTD,BOSCH LTD.,500530,A ,10,INE323A01026,Auto Parts & Equipment,"43,713.85",Large Cap
INDNIPPON,INDIA NIPPON ELECTRICALS LTD.,532240,B ,5,INE092B01025,Auto Parts & Equipment,767.54,Small Cap
LUMAXIND,LUMAX INDUSTRIES LTD.,517206,B ,10,INE162B01018,Auto Parts & Equipment,"1,125.89",Small Cap
HARITASEAT,HARITA SEATING SYSTEMS LTD.,590043,B ,10,INE939D01015,Auto Parts & Equipment,327.21,Small Cap
BHARATSE,BHARAT SEATS LTD.,523229,X ,2,INE415D01024,Auto Parts & Equipment,194.32,Small Cap
PARTIND,PARTH INDUSTRIES LIMITED,526349,ZP,10,INE218T01010,Auto Parts & Equipment,0.34,Small Cap
RICOAUTO,RICO AUTO INDUSTRIES LTD.,520008,B ,1,INE209B01025,Auto Parts & Equipment,610.49,Small Cap
SAPL,SAR  AUTO PRODUCTS LIMITED,538992,X ,10,INE002E01010,Auto Parts & Equipment,156.87,Small Cap
IGARASHI,IGARASHI MOTORS INDIA LTD.,517380,B ,10,INE188B01013,Auto Parts & Equipment,710.88,Small Cap
SETCO,SETCO AUTOMOTIVE LTD.,505075,B ,2,INE878E01021,Auto Parts & Equipment,204.61,Small Cap
BHARATGEAR,BHARAT GEARS LTD.,505688,B ,10,INE561C01019,Auto Parts & Equipment,66.15,Small Cap
WHEELS,WHEELS INDIA LTD.,590073,B ,10,INE715A01015,Auto Parts & Equipment,"1,533.56",Small Cap
MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,520059,B ,2,INE672B01032,Auto Parts & Equipment,398.72,Small Cap
MUNJALSHOW,MUNJAL SHOWA LTD.,520043,B ,2,INE577A01027,Auto Parts & Equipment,517.64,Small Cap
SAMKRG,SAMKRG PISTONS & RINGS LTD.,520075,X ,10,INE706B01012,Auto Parts & Equipment,111.93,Small Cap
ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.,505163,X ,10,INE116C01012,Auto Parts & Equipment,377.03,Small Cap
LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,532796,B ,2,INE872H01027,Auto Parts & Equipment,624.46,Small Cap
HINDHARD,HINDUSTAN HARDY LIMITED,505893,X ,10,INE724D01011,Auto Parts & Equipment,11.09,Small Cap
LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,500250,B ,10,INE337A01034,Auto Parts & Equipment,900.98,Small Cap
SALAUTO,SAL AUTOMOTIVE LIMITED,539353,X ,10,INE724G01014,Auto Parts & Equipment,39.18,Small Cap
YUKEN,YUKEN INDIA LTD.,522108,X ,10,INE384C01016,Auto Parts & Equipment,639.54,Small Cap
BIMETAL,BIMETAL BEARINGS LTD.,505681,X ,10,INE469A01019,Auto Parts & Equipment,127.91,Small Cap
HIMTEK,HIM TEKNOFORGE LIMITED,505712,X ,2,INE705G01021,Auto Parts & Equipment,39.24,Small Cap
TRITONV,TRITON VALVES LTD.,505978,X ,10,INE440G01017,Auto Parts & Equipment,87.72,Small Cap
SANDHAR,SANDHAR TECHNOLOGIES LIMITED,541163,B ,10,INE278H01035,Auto Parts & Equipment,"1,503.17",Small Cap
SHARDA,SHARDA MOTOR INDUSTRIES LTD,535602,B ,10,INE597I01010,Auto Parts & Equipment,603.84,Small Cap
HITECHGEAR,THE HI-TECH GEARS LTD,522073,B ,10,INE127B01011,Auto Parts & Equipment,331.95,Small Cap
REMSONSIND,REMSONS INDUSTRIES LTD.,530919,B ,10,INE474C01015,Auto Parts & Equipment,47.94,Small Cap
MULTIBASE,MULTIBASE INDIA LTD.,526169,X ,10,INE678F01014,Auto Tyres & Rubber Products,174.56,Small Cap
BALKRISIND,BALKRISHNA INDUSTRIES LTD.,502355,A ,2,INE787D01026,Auto Tyres & Rubber Products,"15,544.49",Mid Cap
GOVINDRU,GOVIND RUBBER LTD.,509148,Z ,10,INE011C01015,Auto Tyres & Rubber Products,3.53,Small Cap
TVSSRICHAK,TVS SRICHAKRA LTD.,509243,A ,10,INE421C01016,Auto Tyres & Rubber Products,"1,340.44",Small Cap
HARRMALAYA,HARRISONS MALAYALAM LTD.,500467,B ,10,INE544A01019,Auto Tyres & Rubber Products,99.45,Small Cap
GRPLTD,GRP LTD.,509152,B ,10,INE137I01015,Auto Tyres & Rubber Products,117.31,Small Cap
MODIRUBBER,MODI RUBBER LTD.,500890,T ,10,INE832A01018,Auto Tyres & Rubber Products,105.16,Small Cap
GOODYEAR,GOODYEAR INDIA LTD.,500168,B ,10,INE533A01012,Auto Tyres & Rubber Products,"2,159.33",Small Cap
COCHMAL,COCHIN MALABAR ESTATES & INDUS,508571,X ,10,INE788M01017,Auto Tyres & Rubber Products,10.55,Small Cap
MMRUBBR-B,MM RUBBER COMPANY LTD.,509196,X ,2,INE159E01026,Auto Tyres & Rubber Products,27.26,Small Cap
EASTRED,EASTERN TREADS LTD.,531346,X ,10,INE500D01015,Auto Tyres & Rubber Products,15.56,Small Cap
VRWODAR,V R WOODART LTD.,523888,ZP,10,INE317D01014,Auto Tyres & Rubber Products,11.22,Small Cap
TTIL,TIRUPATI TYRES LTD.,539040,X ,10,INE812Q01016,Auto Tyres & Rubber Products,0.4,Small Cap
DOLFIN,DOLFIN RUBBERS LIMITED,542013,M ,10,INE666Y01010,Auto Tyres & Rubber Products,30.48,Small Cap
INDAG,INDAG RUBBER LTD.,509162,X ,2,INE802D01023,Auto Tyres & Rubber Products,193.91,Small Cap
VAMSHIRU,VAMSHI RUBBER LTD.,530369,X ,10,INE380C01014,Auto Tyres & Rubber Products,8.16,Small Cap
CEATLTD,CEAT LTD.,500878,A ,10,INE482A01020,Auto Tyres & Rubber Products,"3,751.32",Small Cap
JKTYRE,JK TYRE & INDUSTRIES LTD.,530007,A ,2,INE573A01042,Auto Tyres & Rubber Products,"1,698.51",Small Cap
MRF,MRF LTD.,500290,A ,10,INE883A01011,Auto Tyres & Rubber Products,"25,584.77",Mid Cap
APOLLOTYRE,APOLLO TYRES LTD.,500877,A ,1,INE438A01022,Auto Tyres & Rubber Products,"9,861.00",Mid Cap
RUBFILA,RUBFILA INTERNATIONAL LTD.,500367,X ,5,INE642C01025,Auto Tyres & Rubber Products,157.59,Small Cap
PIXTRANS,PIX TRANSMISSIONS LTD.,500333,X ,10,INE751B01018,Auto Tyres & Rubber Products,180.99,Small Cap
EXCEL,EXCEL REALTY N INFRA LTD.,533090,B ,10,INE688J01015,BPO/KPO,10.38,Small Cap
ALLSEC,ALLSEC TECHNOLOGIES LTD.,532633,B ,10,INE835G01018,BPO/KPO,435.49,Small Cap
XCHANGING,XCHANGING SOLUTIONS LTD.,532616,B ,10,INE692G01013,BPO/KPO,589.69,Small Cap
CESL,CES LIMITED,512341,XT,10,INE396F01013,BPO/KPO,29.78,Small Cap
HOVS,HOV SERVICES LTD.,532761,B ,10,INE596H01014,BPO/KPO,83.97,Small Cap
MOLDTEK,MOLD-TEK TECHNOLOGIES LTD.,526263,B ,2,INE835B01035,BPO/KPO,140.08,Small Cap
RIDDHICORP,RIDDHI CORPORATE SERVICES LIMI,540590,T ,10,INE325X01015,BPO/KPO,111.49,Small Cap
FSL,FIRSTSOURCE SOLUTIONS LTD.,532809,A ,10,INE684F01012,BPO/KPO,"3,243.77",Small Cap
LEENEE,LEE & NEE SOFTWARES (EXPORTS),517415,XT,10,INE791B01014,BPO/KPO,5.9,Small Cap
AXISCADES,AXISCADES,532395,B ,5,INE555B01013,BPO/KPO,252.11,Small Cap
BNRUDY,BNR UDYOG LTD.,530809,X ,10,INE355C01016,BPO/KPO,5.53,Small Cap
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,532859,B ,10,INE170I01016,BPO/KPO,"1,244.43",Small Cap
ECLERX,ECLERX SERVICES LTD.,532927,A ,10,INE738I01010,BPO/KPO,"1,911.22",Small Cap
INFORTEC,INFORMED TECHNOLOGIES INDIA LT,504810,X ,10,INE123E01014,BPO/KPO,8.37,Small Cap
SOUTHBANK,SOUTH INDIAN BANK LTD.,532218,A ,1,INE683A01023,Banks,"2,035.15",Small Cap
BANKINDIA,BANK OF INDIA,532149,A ,10,INE084A01016,Banks,"23,177.71",Mid Cap
IOB,INDIAN OVERSEAS BANK,532388,A ,10,INE565A01014,Banks,"9,843.94",Mid Cap
BANKBARODA,BANK OF BARODA,532134,A ,2,INE028A01039,Banks,"39,367.21",Large Cap
BANDHANBNK,BANDHAN BANK LIMITED,541153,A ,10,INE545U01014,Banks,"69,784.50",Large Cap
KARURVYSYA,KARUR VYSYA BANK LTD.,590003,B ,2,INE036D01028,Banks,"4,833.90",Small Cap
INDIANB,INDIAN BANK,532814,A ,10,INE562A01011,Banks,"7,832.40",Small Cap
MAHABANK,BANK OF MAHARASHTRA,532525,A ,10,INE457A01014,Banks,"7,239.70",Small Cap
AUBANK,AU SMALL FINANCE BANK LIMITED,540611,A ,10,INE949L01017,Banks,"20,723.23",Mid Cap
SBIN,STATE BANK OF INDIA,500112,A ,1,INE062A01020,Banks,"2,76,148.52",Large Cap
DHANBANK,DHANLAXMI BANK LIMITED,532180,B ,10,INE680A01011,Banks,374.08,Small Cap
UCOBANK,UCO BANK,532505,A ,10,INE691A01018,Banks,"11,844.13",Mid Cap
PNB,PUNJAB NATIONAL BANK,532461,A ,2,INE160A01022,Banks,"33,021.66",Large Cap
CSBBANK,CSB BANK LIMITED,542867,B ,10,INE679A01013,Banks,"4,278.88",Small Cap
YESBANK,YES BANK LTD.,532648,A ,2,INE528G01035,Banks,"16,228.29",Mid Cap
CENTRALBK,CENTRAL BANK OF INDIA,532885,A ,10,INE483A01010,Banks,"8,258.27",Small Cap
KOTAKBANK,KOTAK MAHINDRA BANK LTD.,500247,A ,5,INE237A01028,Banks,"2,98,498.43",Large Cap
ICICIBANK,ICICI BANK LTD.,532174,A ,2,INE090A01021,Banks,"2,92,955.49",Large Cap
PSB,PUNJAB & SIND BANK,533295,B ,10,INE608A01012,Banks,"1,252.50",Small Cap
UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIM,542904,B ,10,INE551W01018,Banks,"9,666.09",Mid Cap
AXISBANK,AXIS BANK LTD.,532215,A ,2,INE238A01034,Banks,"1,94,164.20",Large Cap
HDFCBANK,HDFC BANK LTD.,500180,A ,1,INE040A01034,Banks,"6,57,924.81",Large Cap
